x,y,date,cell,polyclass,bleu,vert,rouge,pir,pre_abs
542145,4797065,20170314,49361,hp,0.0297,0.0377,0.0216,0,abs
542155,4797065,20170314,49362,hp,0.0271,0.0364,0.0219,0,abs
542125,4797055,20170314,49786,hp,0.031,0.0417,0.0274,0,abs
542135,4797055,20170314,49787,hp,0.0339,0.0384,0.026,0,abs
542145,4797055,20170314,49788,hp,0.0309,0.0397,0.0251,0,abs
542155,4797055,20170314,49789,hp,0.0268,0.0361,0.0222,0,abs
542165,4797055,20170314,49790,hp,0.0264,0.0373,0.0202,0,abs
542245,4797645,20170314,24605,hp,0.0355,0.0538,0.0404,0,abs
542255,4797645,20170314,24606,hp,0.0349,0.0555,0.0405,0,abs
542245,4797635,20170314,25032,hp,0.0366,0.0566,0.0426,0,abs
542255,4797635,20170314,25033,hp,0.0369,0.0543,0.0418,0,abs
542265,4797635,20170314,25034,hp,0.0351,0.0535,0.0412,0,abs
542275,4797635,20170314,25035,hp,0.0361,0.0533,0.0407,0,abs
542285,4797635,20170314,25036,hp,0.0336,0.0532,0.0409,0,abs
542295,4797635,20170314,25037,hp,0.0351,0.0538,0.0379,0,abs
542305,4797635,20170314,25038,hp,0.0332,0.0496,0.0372,0,abs
542225,4797625,20170314,25457,hp,0.0377,0.0572,0.0422,0,abs
542235,4797625,20170314,25458,hp,0.0365,0.0569,0.0421,0,abs
542245,4797625,20170314,25459,hp,0.0361,0.0571,0.0434,0,abs
542255,4797625,20170314,25460,hp,0.0376,0.0575,0.0408,0,abs
542265,4797625,20170314,25461,hp,0.0363,0.0578,0.0412,0,abs
542275,4797625,20170314,25462,hp,0.0369,0.0559,0.0396,0,abs
542285,4797625,20170314,25463,hp,0.0361,0.0551,0.0405,0,abs
542295,4797625,20170314,25464,hp,0.0369,0.0555,0.0412,0,abs
542305,4797625,20170314,25465,hp,0.0345,0.053900000000000003,0.0391,0,abs
542315,4797625,20170314,25466,hp,0.0349,0.0519,0.0402,0,abs
542325,4797625,20170314,25467,hp,0.0357,0.0526,0.0401,0,abs
542335,4797625,20170314,25468,hp,0.0368,0.0507,0.0381,0,abs
542345,4797625,20170314,25469,hp,0.0347,0.0503,0.0372,0,abs
542295,4797615,20170314,25891,hp,0.0384,0.0565,0.0433,0,abs
542305,4797615,20170314,25892,hp,0.0355,0.0542,0.0404,0,abs
542315,4797615,20170314,25893,hp,0.0382,0.0522,0.0399,0,abs
542325,4797615,20170314,25894,hp,0.0373,0.0521,0.0399,0,abs
542335,4797615,20170314,25895,hp,0.036,0.0531,0.0397,0,abs
542345,4797615,20170314,25896,hp,0.0345,0.0532,0.0402,0,abs
542315,4797605,20170314,26320,hp,0.0357,0.0541,0.0398,0,abs
542325,4797605,20170314,26321,hp,0.0376,0.0532,0.0403,0,abs
542335,4797605,20170314,26322,hp,0.0366,0.0535,0.0406,0,abs
542315,4797595,20170314,26747,hp,0.0372,0.0546,0.04,0,abs
542325,4797595,20170314,26748,hp,0.0366,0.0542,0.0403,0,abs
542325,4797585,20170314,27175,hp,0.0354,0.0546,0.0408,0,abs
542335,4797585,20170314,27176,hp,0.0363,0.0571,0.0394,0,abs
542165,4797405,20170314,34845,hp,0.0284,0.0418,0.025,0,abs
542175,4797405,20170314,34846,hp,0.0292,0.0389,0.0256,0,abs
542185,4797405,20170314,34847,hp,0.0295,0.0399,0.0233,0,abs
542195,4797405,20170314,34848,hp,0.0276,0.0356,0.0201,0,abs
542165,4797395,20170314,35272,hp,0.029,0.0424,0.026,0,abs
542175,4797395,20170314,35273,hp,0.0304,0.0401,0.0233,0,abs
542185,4797395,20170314,35274,hp,0.0295,0.0414,0.0232,0,abs
